Day_sin,Day_cos,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,W1,W2,W3,W4,Temp,Humi,Wind_speed,D1_Day_sin,D1_Day_cos,D1_W1,D1_W2,D1_W3,D1_W4,D1_Temp,D1_Humi,D1_Wind_speed,D1_Solar,Solar
0.499999975,0.99999995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8,59,9.7,0,0,0,0,0,0,0,0,0,0,0.07
0.499999975,0.99999995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9,63,7.8,0,0,0,0,0,0,0,0,0,0,0.12
0.499999975,0.99999995,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.9,56,6.8,0,0,0,0,0,0,0,0,0,0,0.47
0.499999975,0.99999995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.9,56,6.8,0,0,0,0,0,0,0,0,0,0,0.76
0.499999975,0.99999995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.1,57,6.1,0,0,0,0,0,0,0,0,0,0,0.58
0.499999975,0.99999995,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.3,59,6.9,0,0,0,0,0,0,0,0,0,0,0.99
0.499999975,0.99999995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.3,63,7.8,0,0,0,0,0,0,0,0,0,0,0.55
0.499999975,0.99999995,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.7,57,6.9,0,0,0,0,0,0,0,0,0,0,0.35
0.499999975,0.99999995,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,58,7.2,0,0,0,0,0,0,0,0,0,0,0.43
0.499999975,0.99999995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.4,56,6.6,0,0,0,0,0,0,0,0,0,0,0.23
0.499999975,0.99999995,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.7,55,7.6,0,0,0,0,0,0,0,0,0,0,0.1
